,prop,subevent,role,causation,syntax,lr,batch_size,epoch,finished,exp,mean_rank,MRR,H@1,H@3,H@10,exp_count,rank
33,1,1,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,653.3211,0.3102,0.2552,0.3257,0.4223,3,3.0
37,0,1,0,1,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,207.7401,0.3021,0.208,0.3382,0.496,18,9.0
39,0,0,0,1,simple_rdf_sp,1e-05,512,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep10,64.715,0.3821,0.2849,0.4113,0.5825,24,4.0
40,1,0,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,372.0338,0.1911,0.1381,0.1923,0.3005,12,7.0
41,0,1,0,1,simple_rdf_reification,1e-05,512,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep10,759.7831,0.3213,0.2804,0.3372,0.3979,18,7.0
42,0,1,0,1,simple_rdf_prop,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep1,245.823,0.2624,0.1714,0.3011,0.4363,18,14.0
44,0,1,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,798.5135,0.2629,0.2258,0.275,0.3283,18,13.0
45,0,0,0,1,simple_rdf_sp,1e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep1,611.7923,0.0464,0.0,0.0439,0.1524,24,19.0
46,1,0,0,1,simple_rdf_reification,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr3e-05_bs512_ep1,281.8791,0.2354,0.166,0.2488,0.3675,12,4.0
47,0,1,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,538.4656,0.1202,0.0496,0.133,0.2677,18,17.0
48,0,1,0,1,simple_rdf_reification,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep10,772.7818,0.3171,0.2773,0.3308,0.3895,18,8.0
50,0,1,0,1,simple_rdf_prop,1e-05,512,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep10,107.3506,0.4088,0.3022,0.4515,0.6297,18,4.0
51,0,0,0,1,simple_rdf_prop,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs128_ep1,285.8395,0.1288,0.0483,0.1615,0.2923,24,11.0
52,0,1,0,1,simple_rdf_sp,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep10,115.2822,0.4138,0.3058,0.4643,0.6293,18,2.0
53,1,1,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,405.3466,0.3126,0.2235,0.3476,0.4922,3,2.0
54,0,0,0,1,simple_rdf_reification,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs1024_ep1,1132.9137,0.01,0.0,0.0032,0.0178,24,24.0
56,1,1,0,1,simple_rdf_prop,1e-05,256,1,True,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep1,394.8987,0.3298,0.2429,0.3605,0.5128,3,1.0
57,0,1,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,236.6001,0.2939,0.187,0.3454,0.4995,18,10.0
58,0,1,0,1,simple_rdf_sp,1e-05,512,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs512_ep10,120.1573,0.4112,0.3041,0.4598,0.6227,18,3.0
59,0,0,0,1,simple_rdf_reification,1e-05,128,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs128_ep1,315.2627,0.2111,0.1719,0.2163,0.2798,24,7.0
60,0,0,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,456.7964,0.0923,0.0272,0.0939,0.2412,24,15.0
61,0,1,0,1,simple_rdf_prop,1e-05,256,10,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep10,90.2204,0.4185,0.3123,0.4684,0.6336,18,1.0
62,1,0,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,416.238,0.1737,0.0987,0.1864,0.3301,12,8.0
64,0,0,0,1,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,403.3726,0.0788,0.0077,0.0945,0.2219,24,18.0
65,0,1,0,1,simple_rdf_sp,1e-05,256,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs256_ep1,341.3657,0.2426,0.1584,0.2701,0.4093,18,15.0
67,0,0,0,1,simple_rdf_reification,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr5e-05_bs512_ep1,362.3452,0.1959,0.1517,0.2074,0.2779,24,8.0
69,0,0,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,357.212,0.0912,0.0143,0.1044,0.2626,24,16.0
70,1,0,0,1,simple_rdf_prop,1e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep1,636.2923,0.0538,0.0033,0.0467,0.1573,12,12.0
71,1,0,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,209.9387,0.2735,0.1885,0.2987,0.4384,12,3.0
73,0,0,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,410.8852,0.1235,0.049,0.1493,0.2589,24,13.0
74,0,0,0,1,simple_rdf_reification,1e-05,256,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs256_ep1,500.835,0.1193,0.0755,0.1174,0.2601,24,14.0
75,1,0,0,1,simple_rdf_sp,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr3e-05_bs512_ep1,312.6042,0.2134,0.1317,0.2319,0.3808,12,6.0
76,0,1,0,1,simple_rdf_sp,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp_lr5e-05_bs512_ep1,165.4164,0.3267,0.2162,0.3751,0.533,18,6.0
